Tiempo,Agujero,calidad,Tiempo proceso
2024-07-31 12:19:39.996837,4,1,1.9714090824127197
2024-07-31 12:19:51.396516,4,1,0.857774019241333
2024-07-31 12:20:03.626684,72,1,0.8517632484436035
