Tiempo,Agujero,calidad,Tiempo proceso
3068237305
2024-07-04 15:48:14.839613,1,1,0.8449437618255615
2024-07-04 15:49:55.653016,1,1,0.8596351146697998
2024-07-04 15:50:00.828477,2,1,0.9032406806945801
2024-07-04 15:50:06.030968,3,1,0.8177812099456787
2024-07-04 15:50:11.170452,4,1,0.8657715320587158
2024-07-04 15:50:30.545258,5,1,0.8281693458557129
2024-07-04 15:51:03.055069,1,1,0.9157397747039795
2024-07-04 15:51:08.386789,2,1,0.849219560623169
2024-07-04 15:51:13.568465,3,1,0.8233036994934082
2024-07-04 15:51:18.740956,4,1,0.8372831344604492
2024-07-04 15:51:46.577546,5,1,0.9200534820556641
2024-07-04 15:51:51.776815,6,1,0.8752436637878418
2024-07-04 15:51:56.958706,7,1,0.814016580581665
2024-07-04 15:52:02.042681,8,1,0.8168916702270508
2024-07-04 15:52:07.140633,9,1,0.7840585708618164
2024-07-04 15:52:12.125402,10,1,0.7846789360046387
2024-07-04 15:52:17.248412,11,1,0.8019442558288574
2024-07-04 15:52:22.345090,12,1,0.827601432800293
2024-07-04 15:52:27.452960,13,1,0.8237721920013428
2024-07-04 15:52:32.640345,14,1,0.8256306648254395
2024-07-04 15:52:37.718822,15,1,0.8547403812408447
2024-07-04 15:52:42.936551,16,1,0.8365371227264404
2024-07-04 15:54:08.935883,1,1,0.9358749389648438
2024-07-04 15:54:14.271389,2,1,0.931302547454834
2024-07-04 15:54:19.527664,3,1,0.8243176937103271
2024-07-04 15:57:40.241912,1,3,0.905120849609375
2024-07-04 15:57:54.635014,2,1,0.9063699245452881
2024-07-04 15:57:59.843300,3,1,0.8319551944732666
2024-07-04 15:58:04.923699,4,3,0.8163588047027588
2024-07-04 15:58:19.231232,5,3,0.8161265850067139
2024-07-04 15:58:33.505008,6,1,0.9655392169952393
2024-07-04 15:58:38.811512,7,1,0.8688521385192871
2024-07-04 15:58:44.058183,8,2,0.8143184185028076
2024-07-04 15:58:49.156284,9,3,0.8260595798492432
2024-07-04 15:59:03.520201,10,2,0.8268077373504639
2024-07-04 15:59:08.711203,11,3,0.8325715065002441
2024-07-04 15:59:23.139313,12,1,0.900831937789917
2024-07-04 15:59:28.308987,13,1,0.8564662933349609
2024-07-04 15:59:33.450215,14,2,0.8319156169891357
2024-07-04 15:59:38.544542,15,3,0.853144645690918
2024-07-04 15:59:57.725239,16,3,0.8510966300964355
2024-07-04 16:00:12.165839,17,1,0.8475179672241211
2024-07-04 16:00:17.230231,18,1,0.8610520362854004
2024-07-04 16:00:22.422084,19,1,0.8608603477478027
2024-07-04 16:00:27.664142,20,3,0.8269093036651611
2024-07-04 16:00:42.134958,21,3,0.8569920063018799
2024-07-04 16:00:56.415734,22,2,0.9358742237091064
2024-07-04 16:01:01.613235,23,2,0.8785490989685059
2024-07-04 16:01:06.814563,24,1,0.8229048252105713
2024-07-04 16:01:11.923427,25,3,0.8623120784759521
2024-07-04 16:01:26.262892,26,3,0.8871874809265137
2024-07-04 16:01:40.637771,27,3,0.9133367538452148
2024-07-04 16:01:59.911239,28,3,0.871086597442627
2024-07-04 16:02:14.310410,29,1,0.8251101970672607
2024-07-04 16:02:19.458533,30,1,0.8790287971496582
2024-07-04 16:02:24.708076,31,3,0.86474609375
2024-07-04 16:02:39.035999,32,3,0.8033981323242188
2024-07-04 16:02:53.415692,33,3,0.8308277130126953
2024-07-04 16:03:07.731485,34,3,0.8207449913024902
2024-07-04 16:03:22.052328,35,3,0.862572193145752
2024-07-04 16:04:35.798227,36,3,0.9120008945465088
2024-07-04 16:04:50.316909,37,3,0.9283933639526367
2024-07-04 16:05:04.842242,38,3,0.8031167984008789
2024-07-04 16:05:19.137911,39,3,0.8449752330780029
2024-07-04 16:05:33.542771,40,3,0.839587926864624
2024-07-04 16:05:47.798408,41,3,0.9439382553100586
2024-07-04 16:06:07.119212,42,1,0.8363759517669678
2024-07-04 16:06:12.206634,43,1,0.8380982875823975
2024-07-04 16:06:17.451784,44,3,0.8303682804107666
2024-07-04 16:06:31.780444,45,3,0.8898289203643799
2024-07-04 16:06:46.228085,46,3,0.8235306739807129
2024-07-04 16:07:00.639377,47,3,0.8387866020202637
2024-07-04 16:07:14.889959,48,3,0.8862795829772949
2024-07-04 16:07:29.420518,49,1,0.8683948516845703
2024-07-04 16:07:34.604835,50,1,0.8674883842468262
2024-07-04 16:07:39.699301,51,1,0.8367114067077637
