Tiempo,Agujero,calidad,Tiempo proceso
85906982422
2024-07-04 17:32:42.137469,1,1,0.9377093315124512
2024-07-04 17:32:47.277635,2,3,0.8604385852813721
2024-07-04 17:33:06.441331,3,3,0.8761539459228516
2024-07-04 17:33:20.854157,4,1,0.8089165687561035
2024-07-04 17:33:25.966790,5,3,0.8146827220916748
2024-07-04 17:33:40.296104,6,1,0.8332281112670898
2024-07-04 17:33:45.469983,7,1,0.8722121715545654
2024-07-04 17:33:50.643924,8,1,0.8112623691558838
2024-07-04 17:33:55.647037,9,1,0.8376474380493164
2024-07-04 17:34:00.821229,10,1,0.8235378265380859
2024-07-04 17:34:05.885916,11,1,0.8693320751190186
2024-07-04 17:34:11.046785,12,1,0.817997932434082
2024-07-04 17:34:16.076648,13,3,0.8679838180541992
2024-07-04 17:34:30.477896,14,2,0.960944652557373
2024-07-04 17:34:35.747073,15,1,0.805084228515625
2024-07-04 17:34:40.875341,16,1,0.8844473361968994
2024-07-04 17:34:46.033451,17,3,0.8526277542114258
2024-07-04 17:35:00.489444,18,2,0.7963695526123047
2024-07-04 17:35:05.578264,19,3,0.8691489696502686
2024-07-04 17:35:20.095216,20,1,0.8896675109863281
2024-07-04 17:35:25.279123,21,1,0.8768508434295654
2024-07-04 17:35:30.489846,22,3,0.8615155220031738
2024-07-04 17:36:29.274161,23,3,0.9674055576324463
2024-07-04 17:36:43.732982,24,1,0.8370993137359619
2024-07-04 17:36:48.967276,25,3,0.8885190486907959
2024-07-04 17:37:03.429200,26,1,0.9079396724700928
2024-07-04 17:37:08.570964,27,1,0.81365966796875
2024-07-04 17:37:13.637221,28,3,0.8088734149932861
2024-07-04 17:37:27.927975,29,3,0.8380873203277588
2024-07-04 17:37:42.232150,30,3,0.905799388885498
2024-07-04 17:37:56.762842,31,3,0.8178303241729736
2024-07-04 17:38:15.949000,32,3,0.8873467445373535
2024-07-04 17:38:30.429501,33,1,0.8779113292694092
2024-07-04 17:38:35.686486,34,3,0.8283557891845703
2024-07-04 17:38:50.063638,35,3,0.8561909198760986
2024-07-04 17:39:04.430595,36,3,0.8459229469299316
2024-07-04 17:39:18.754773,37,3,0.9213118553161621
2024-07-04 17:39:33.126071,38,1,0.8274657726287842
2024-07-04 17:39:38.252912,39,3,0.78928542137146
2024-07-04 17:39:57.362597,40,3,0.8717079162597656
2024-07-04 17:40:11.611091,41,1,0.9427900314331055
2024-07-04 17:40:16.944416,42,3,0.7963001728057861
2024-07-04 17:40:31.222060,43,1,0.8577675819396973
2024-07-04 17:40:36.457965,44,1,0.8309586048126221
2024-07-04 17:40:41.550772,45,3,0.8992776870727539
2024-07-04 17:40:56.019417,46,3,0.8705558776855469
2024-07-04 17:41:10.368708,47,1,0.7753190994262695
2024-07-04 17:41:15.326647,48,3,0.8304951190948486
2024-07-04 17:41:29.726771,49,3,0.814075231552124
2024-07-04 17:44:12.846041,50,1,0.928511381149292
2024-07-04 17:44:18.026862,51,1,0.9476816654205322
2024-07-04 17:44:23.233816,52,1,0.8465683460235596
2024-07-04 17:44:28.421966,53,3,0.8648879528045654
2024-07-04 17:44:42.809686,54,1,0.8391315937042236
2024-07-04 17:44:48.050214,55,3,0.8964273929595947
2024-07-04 17:45:02.511067,56,3,0.9355528354644775
2024-07-04 17:45:17.024790,57,3,0.8421351909637451
2024-07-04 17:45:31.442646,58,1,0.8144698143005371
2024-07-04 17:45:36.637083,59,1,0.8295590877532959
2024-07-04 17:45:41.703351,60,3,0.7876753807067871
2024-07-04 17:45:55.816813,61,2,0.9437291622161865
2024-07-04 17:46:01.016358,62,1,0.8577561378479004
2024-07-04 17:46:06.249619,63,1,0.824383020401001
2024-07-04 17:46:11.434025,64,2,0.8561046123504639
2024-07-04 17:46:16.633512,65,3,0.8617894649505615
2024-07-04 17:46:35.750675,66,1,0.9185819625854492
2024-07-04 17:46:41.070172,67,1,0.8930361270904541
2024-07-04 17:46:46.199377,68,3,0.838407039642334
2024-07-04 17:47:00.620599,69,1,0.8570079803466797
2024-07-04 17:47:05.759896,70,3,0.8371953964233398
2024-07-04 17:47:20.259566,71,3,0.9151418209075928
2024-07-04 17:47:34.604770,72,3,0.8503990173339844
2024-07-04 17:51:18.329739,1,3,0.9177248477935791
2024-07-04 17:51:32.691862,2,3,0.9206478595733643
2024-07-04 17:51:51.910437,3,3,0.8724520206451416
2024-07-04 17:52:06.424491,4,1,0.8518342971801758
2024-07-04 17:52:11.538987,5,1,0.9370906352996826
2024-07-04 17:52:16.816480,6,1,0.8489465713500977
2024-07-04 17:52:21.945680,7,1,0.8950626850128174
2024-07-04 17:52:27.236235,8,1,0.8524763584136963
2024-07-04 17:52:32.427419,9,1,0.7814157009124756
2024-07-04 17:52:37.439895,10,1,0.7990157604217529
2024-07-04 17:52:42.511359,11,3,0.8042945861816406
2024-07-04 17:52:56.851657,12,1,0.8927333354949951
2024-07-04 17:53:02.144201,13,3,0.8236234188079834
2024-07-04 17:53:16.441486,14,3,0.844764232635498
2024-07-04 17:53:30.835349,15,1,0.8473656177520752
2024-07-04 17:53:36.011748,16,3,0.8445553779602051
2024-07-04 17:53:50.220210,17,3,0.9174365997314453
2024-07-04 17:56:00.016260,18,3,0.9014358520507812
2024-07-04 17:56:14.408985,19,3,0.9443559646606445
2024-07-04 17:56:28.804227,20,3,0.8874199390411377
2024-07-04 17:56:43.299379,21,3,0.8808498382568359
2024-07-04 17:56:57.688286,22,3,0.8726365566253662
2024-07-04 17:57:11.995089,23,1,0.8590991497039795
2024-07-04 17:57:17.198457,24,2,0.8630385398864746
2024-07-04 17:57:22.418193,25,1,0.8508703708648682
2024-07-04 17:57:27.618364,26,1,0.8547024726867676
2024-07-04 17:57:32.820262,27,1,0.8488357067108154
2024-07-04 17:57:38.006650,28,1,0.9665954113006592
2024-07-04 17:57:43.292854,29,3,0.89499831199646
2024-07-04 17:58:02.518762,30,1,0.8599987030029297
2024-07-04 17:58:07.698181,31,3,0.8418169021606445
2024-07-04 17:58:22.219641,32,1,0.9531130790710449
2024-07-04 17:58:27.502120,33,3,0.8817756175994873
2024-07-04 17:58:41.911389,34,1,0.8267567157745361
2024-07-04 17:58:47.098790,35,1,0.8393044471740723
2024-07-04 17:58:52.294187,36,1,0.8483474254608154
2024-07-04 17:58:57.493839,37,1,0.8542091846466064
2024-07-04 17:59:02.617962,38,3,0.8540027141571045
2024-07-04 17:59:17.103267,39,3,0.9026896953582764
2024-07-04 17:59:31.598044,40,1,0.837207555770874
