,num_bandeja,idx,longitud_hoja,calidad_plantin,prediccion_calidad,h_filename,v_filename,pre_eval,evaluacion_prediccion
47,1,A48,47.99,2.0,3.0,h-2024-07-04_16-07-15.759200_ll_A48_C3.jpg,v-2024-07-04_16-07-15.759200_ll_A48_C3.jpg,-1.0,0.0
48,1,A49,38.42,2.0,1.0,h-2024-07-04_16-07-30.270042_ll_A49_C1.jpg,v-2024-07-04_16-07-30.270042_ll_A49_C1.jpg,1.0,1.0
49,1,A50,41.75,2.0,1.0,h-2024-07-04_16-07-35.454757_ll_A50_C1.jpg,v-2024-07-04_16-07-35.454757_ll_A50_C1.jpg,1.0,1.0
50,1,A51,40.8,2.0,1.0,h-2024-07-04_16-07-40.518646_ll_A51_C1.jpg,v-2024-07-04_16-07-40.518646_ll_A51_C1.jpg,1.0,1.0
51,1,A52,50.14,3.0,3.0,h-2024-07-04_16-07-45.463828_ll_A52_C3.jpg,v-2024-07-04_16-07-45.463828_ll_A52_C3.jpg,0.0,1.0
52,1,A53,49.67,2.0,3.0,h-2024-07-04_16-08-04.755528_ll_A53_C3.jpg,v-2024-07-04_16-08-04.755528_ll_A53_C3.jpg,-1.0,0.0
53,1,A54,44.48,2.0,1.0,h-2024-07-04_16-08-19.055855_ll_A54_C1.jpg,v-2024-07-04_16-08-19.055855_ll_A54_C1.jpg,1.0,1.0
54,1,A55,43.9,2.0,3.0,h-2024-07-04_16-08-24.241037_ll_A55_C3.jpg,v-2024-07-04_16-08-24.241037_ll_A55_C3.jpg,-1.0,0.0
55,1,A56,43.23,2.0,3.0,h-2024-07-04_16-08-38.635044_ll_A56_C3.jpg,v-2024-07-04_16-08-38.635044_ll_A56_C3.jpg,-1.0,0.0
56,1,A57,29.89,2.0,3.0,h-2024-07-04_16-08-52.958649_ll_A57_C3.jpg,v-2024-07-04_16-08-52.958649_ll_A57_C3.jpg,-1.0,0.0
57,1,A58,61.3,3.0,3.0,h-2024-07-04_16-09-07.479602_ll_A58_C3.jpg,v-2024-07-04_16-09-07.479602_ll_A58_C3.jpg,0.0,1.0
58,1,A59,49.1,2.0,1.0,h-2024-07-04_16-09-21.730635_ll_A59_C1.jpg,v-2024-07-04_16-09-21.730635_ll_A59_C1.jpg,1.0,1.0
59,1,A60,32.5,2.0,1.0,h-2024-07-04_16-09-26.918891_ll_A60_C1.jpg,v-2024-07-04_16-09-26.918891_ll_A60_C1.jpg,1.0,1.0
60,1,A61,45.02,2.0,3.0,h-2024-07-04_16-09-31.955192_ll_A61_C3.jpg,v-2024-07-04_16-09-31.955192_ll_A61_C3.jpg,-1.0,0.0
61,1,A62,20.85,2.0,3.0,h-2024-07-04_16-10-14.558638_ll_A62_C3.jpg,v-2024-07-04_16-10-14.558638_ll_A62_C3.jpg,-1.0,0.0
62,1,A63,19.78,2.0,0.0,h-2024-07-04_16-10-28.854521_ll_A63_C0.jpg,v-2024-07-04_16-10-28.854521_ll_A63_C0.jpg,2.0,
63,1,A64,36.86,2.0,3.0,h-2024-07-04_16-10-35.278237_ll_A64_C3.jpg,v-2024-07-04_16-10-35.278237_ll_A64_C3.jpg,-1.0,0.0
64,1,A65,45.69,2.0,3.0,h-2024-07-04_16-10-49.669630_ll_A65_C3.jpg,v-2024-07-04_16-10-49.669630_ll_A65_C3.jpg,-1.0,0.0
65,1,A66,37.81,2.0,1.0,h-2024-07-04_16-11-04.129712_ll_A66_C1.jpg,v-2024-07-04_16-11-04.129712_ll_A66_C1.jpg,1.0,1.0
66,1,A67,34.92,2.0,1.0,h-2024-07-04_16-11-09.327085_ll_A67_C1.jpg,v-2024-07-04_16-11-09.327085_ll_A67_C1.jpg,1.0,1.0
67,1,A68,34.32,2.0,3.0,h-2024-07-04_16-11-14.395302_ll_A68_C3.jpg,v-2024-07-04_16-11-14.395302_ll_A68_C3.jpg,-1.0,0.0
68,1,A69,36.24,2.0,3.0,h-2024-07-04_16-11-28.768040_ll_A69_C3.jpg,v-2024-07-04_16-11-28.768040_ll_A69_C3.jpg,-1.0,0.0
69,1,A70,11.84,2.0,2.0,h-2024-07-04_16-11-43.025149_ll_A70_C2.jpg,v-2024-07-04_16-11-43.025149_ll_A70_C2.jpg,0.0,1.0
70,1,A71,31.63,2.0,3.0,h-2024-07-04_16-11-48.260404_ll_A71_C3.jpg,v-2024-07-04_16-11-48.260404_ll_A71_C3.jpg,-1.0,0.0
71,1,A72,27.96,2.0,1.0,h-2024-07-04_16-12-07.590147_ll_A72_C1.jpg,v-2024-07-04_16-12-07.590147_ll_A72_C1.jpg,1.0,1.0
72,2,A1,31.41,2.0,1.0,h-2024-07-04_16-13-46.255095_ll_A1_C1.jpg,v-2024-07-04_16-13-46.255095_ll_A1_C1.jpg,1.0,1.0
73,2,A2,44.64,2.0,1.0,h-2024-07-04_16-13-51.455444_ll_A2_C1.jpg,v-2024-07-04_16-13-51.455444_ll_A2_C1.jpg,1.0,1.0
74,2,A3,42.86,2.0,3.0,h-2024-07-04_16-13-56.538595_ll_A3_C3.jpg,v-2024-07-04_16-13-56.538595_ll_A3_C3.jpg,-1.0,0.0
75,2,A4,51.76,3.0,3.0,h-2024-07-04_16-14-10.667261_ll_A4_C3.jpg,v-2024-07-04_16-14-10.667261_ll_A4_C3.jpg,0.0,1.0
76,2,A5,50.2,3.0,3.0,h-2024-07-04_16-14-25.043371_ll_A5_C3.jpg,v-2024-07-04_16-14-25.043371_ll_A5_C3.jpg,0.0,1.0
77,2,A6,44.49,2.0,1.0,h-2024-07-04_16-14-39.356020_ll_A6_C1.jpg,v-2024-07-04_16-14-39.356020_ll_A6_C1.jpg,1.0,1.0
78,2,A7,54.79,3.0,3.0,h-2024-07-04_16-14-44.543747_ll_A7_C3.jpg,v-2024-07-04_16-14-44.543747_ll_A7_C3.jpg,0.0,1.0
79,2,A8,44.48,2.0,3.0,h-2024-07-04_16-14-58.811413_ll_A8_C3.jpg,v-2024-07-04_16-14-58.811413_ll_A8_C3.jpg,-1.0,0.0
80,2,A9,63.29,3.0,3.0,h-2024-07-04_16-15-13.162260_ll_A9_C3.jpg,v-2024-07-04_16-15-13.162260_ll_A9_C3.jpg,0.0,1.0
81,2,A10,53.34,3.0,3.0,h-2024-07-04_16-15-32.463006_ll_A10_C3.jpg,v-2024-07-04_16-15-32.463006_ll_A10_C3.jpg,0.0,1.0
82,2,A11,44.09,2.0,3.0,h-2024-07-04_16-15-46.752796_ll_A11_C3.jpg,v-2024-07-04_16-15-46.752796_ll_A11_C3.jpg,-1.0,0.0
83,2,A12,31.64,2.0,1.0,h-2024-07-04_16-16-01.151399_ll_A12_C1.jpg,v-2024-07-04_16-16-01.151399_ll_A12_C1.jpg,1.0,1.0
84,2,A13,24.86,2.0,1.0,h-2024-07-04_16-16-06.355693_ll_A13_C1.jpg,v-2024-07-04_16-16-06.355693_ll_A13_C1.jpg,1.0,1.0
85,2,A14,32.94,2.0,3.0,h-2024-07-04_16-16-11.565607_ll_A14_C3.jpg,v-2024-07-04_16-16-11.565607_ll_A14_C3.jpg,-1.0,0.0
86,2,A15,55.92,3.0,1.0,h-2024-07-04_16-16-25.963772_ll_A15_C1.jpg,v-2024-07-04_16-16-25.963772_ll_A15_C1.jpg,2.0,1.0
87,2,A16,59.81,3.0,3.0,h-2024-07-04_16-16-31.133837_ll_A16_C3.jpg,v-2024-07-04_16-16-31.133837_ll_A16_C3.jpg,0.0,1.0
88,2,A17,59.76,3.0,3.0,h-2024-07-04_16-16-45.627891_ll_A17_C3.jpg,v-2024-07-04_16-16-45.627891_ll_A17_C3.jpg,0.0,1.0
89,2,A18,19.64,2.0,1.0,h-2024-07-04_16-17-00.031472_ll_A18_C1.jpg,v-2024-07-04_16-17-00.031472_ll_A18_C1.jpg,1.0,1.0
90,2,A19,54.53,3.0,1.0,h-2024-07-04_16-17-05.314502_ll_A19_C1.jpg,v-2024-07-04_16-17-05.314502_ll_A19_C1.jpg,2.0,1.0
91,2,A20,63.24,3.0,3.0,h-2024-07-04_16-17-10.260948_ll_A20_C3.jpg,v-2024-07-04_16-17-10.260948_ll_A20_C3.jpg,0.0,1.0
92,2,A21,57.36,3.0,3.0,h-2024-07-04_16-17-59.051924_ll_A21_C3.jpg,v-2024-07-04_16-17-59.051924_ll_A21_C3.jpg,0.0,1.0
93,2,A22,50.3,3.0,3.0,h-2024-07-04_16-18-13.433746_ll_A22_C3.jpg,v-2024-07-04_16-18-13.433746_ll_A22_C3.jpg,0.0,1.0
94,2,A23,17.07,2.0,2.0,h-2024-07-04_16-18-27.735308_ll_A23_C2.jpg,v-2024-07-04_16-18-27.735308_ll_A23_C2.jpg,0.0,1.0
95,2,A24,34.97,2.0,1.0,h-2024-07-04_16-18-32.934792_ll_A24_C1.jpg,v-2024-07-04_16-18-32.934792_ll_A24_C1.jpg,1.0,1.0
96,2,A25,45.89,2.0,1.0,h-2024-07-04_16-18-38.148100_ll_A25_C1.jpg,v-2024-07-04_16-18-38.148100_ll_A25_C1.jpg,1.0,1.0
97,2,A26,57.88,3.0,3.0,h-2024-07-04_16-18-43.370731_ll_A26_C3.jpg,v-2024-07-04_16-18-43.370731_ll_A26_C3.jpg,0.0,1.0
